UUID;net_verhoogd;hoek;larven;metamorf;adult;post_metamorf;totaal
ad70f6d7-129e-411c-acb0-5fd4373f012c;TRUE;00°;3;0;0;0;3
5adb3eb7-8bb4-4c1e-92b7-03d00f7e6de1;TRUE;00°;0;0;0;0;0
1ea6b3e8-92e8-4839-8ae6-bcff38f2539d;TRUE;00°;19;0;0;0;19
ca221ccd-bcce-447d-9f8a-30c55655c779;TRUE;00°;8;0;0;0;8
e337d88f-1932-438c-9ad9-57321277c62b;TRUE;00°;8;0;0;0;8
c7cc418b-9385-44c6-888a-27db4052e30d;TRUE;00°;20;0;0;0;20
80deb14e-11ec-4160-be71-ee6aede8fdca;TRUE;00°;1;2;0;2;3
3d2a34bd-fb1f-4e51-af5a-8a9efcf5ced0;TRUE;00°;5;1;0;1;6
7f875f72-4d40-4be2-999e-fd48e01eae5c;TRUE;45°;117;0;5;5;122
544d0a0d-d6d6-4114-858a-98ad2e7d3b67;TRUE;45°;22;1;3;4;26
354580a0-a7cf-4b18-9817-90781545b558;TRUE;45°;13;0;0;0;13
cae973f9-16fe-46dc-b399-936856af8582;TRUE;45°;20;0;0;0;20
ccb7ea22-a82f-4a35-9d5c-f7aafab25c70;TRUE;45°;32;0;1;1;33
36ddfbfb-a80c-41d5-8e12-cf610da64914;TRUE;45°;104;0;3;3;107
f7eb7228-dd62-4ea3-9cd6-38088bfed039;TRUE;45°;31;0;0;0;31
2f833366-78f2-4435-969a-0305bced4a9b;TRUE;45°;32;1;0;1;33
8b4c30f5-c96b-4345-befa-f1c6587bc6b0;TRUE;45°;151;0;3;3;154
70efec6e-0750-4760-9a74-6fb24825f48f;TRUE;00°;21;0;3;3;24
e860b1c9-5f69-48c6-8300-74735cab6c76;TRUE;45°;35;0;2;2;37
5662f00d-8bd2-43d1-97ac-c77050a6a070;TRUE;45°;1;1;0;1;2
74a076b7-529d-4630-95e2-496ad1a20ace;TRUE;45°;14;0;0;0;14
ab091f02-2beb-49b2-90df-708443304af2;TRUE;45°;10;0;0;0;10
d407b112-869f-497b-ad8a-5ab6611d0f5f;FALSE;45°;84;0;0;0;84
be44e585-c37e-4d68-936e-ca7ba6b5a80c;TRUE;00°;14;0;0;0;14
259d5cfa-5e74-41e1-88a2-a70590ac544e;TRUE;45°;50;0;0;0;50
961671a6-bc4a-4f50-9eaf-c9dfc0167ff8;TRUE;45°;15;0;0;0;15
a5ff9d7f-a67b-4e0f-8193-dcaaa7d86af7;TRUE;45°;16;0;0;0;16
80f9ca90-5afa-4f78-a93a-3866ae739e49;TRUE;45°;1137;1;0;1;1138
26bf5f72-fec3-42d3-b42c-737c15683920;TRUE;45°;1;0;0;0;1
e05e3dd8-0c6d-4cba-ba53-01fc6f9f974e;TRUE;45°;4;0;0;0;4
4d666e53-1e9a-4a75-bee1-b776ba20e3b9;TRUE;45°;8;0;0;0;8
533cf4e4-a8fb-4b34-809f-86a46802a4dc;TRUE;45°;36;0;0;0;36
0a86adaa-0a8f-449a-a157-8ba7c48f09cc;TRUE;45°;295;0;0;0;295
18b5e0ca-460a-4a2c-9dd9-6df2c9f95467;TRUE;00°;0;0;0;0;0
5ac33bb3-6a71-452f-a00d-335d96201008;TRUE;00°;0;0;0;0;0
265056f3-be45-4028-a676-e28af0fa6535;TRUE;00°;0;0;0;0;0
6964f879-9a5a-4a83-8267-d5b5177cb6e6;FALSE;90°;0;0;0;0;0
526cba43-e455-401d-8fca-ca768ed8efce;FALSE;00°;0;0;0;0;0
45e82ac5-d5f5-4ebc-b992-678c3919b4aa;TRUE;00°;0;0;0;0;0
f04d6477-af92-4df4-aa14-9b7baf4f082b;TRUE;90°;0;0;0;0;0
2e0c63a3-4c0e-48ea-8560-fff7773005c0;TRUE;00°;0;0;0;0;0
708fea48-92d2-4044-8693-96bc7df6c71c;TRUE;00°;9;0;0;0;9
1e98aa97-cf6a-4be4-953e-eb07be7b96b2;TRUE;90°;1;0;0;0;1
011baa9a-18e8-42db-9547-29cd4445ff89;TRUE;45°;23;0;0;0;23
e1876fd1-e991-4032-9958-fc7e27bbb30f;TRUE;45°;22;0;1;1;23
94e942da-6a95-44a1-a0ca-a758ae266c83;TRUE;45°;3;0;0;0;3
5c4420b3-c459-4f1e-93e5-34bffc8094ae;TRUE;45°;273;0;2;2;275
2c7a14c9-e4c8-4e4d-902c-d941c4eb89e7;TRUE;00°;7;0;0;0;7
fbd31585-9e1c-4ef8-95a4-335955ddae9a;TRUE;45°;7;0;0;0;7
bf67fcdf-d77c-4e77-9cb1-13b4163ac662;TRUE;00°;19;0;1;1;20
aa8b9db9-eeb0-44da-a05d-53a1c17998a0;TRUE;45°;1;0;1;1;2
e1884a8d-f24e-4e65-a699-9a0b8b8172ca;TRUE;00°;26;0;1;1;27
6b4ee311-d736-4a31-a9ba-6f039261414e;TRUE;45°;50;0;0;0;50
4f3b1cba-0cef-486d-8392-799c26c233aa;TRUE;00°;118;0;0;0;118
9ed5adb1-d086-4521-a1d8-5cbd2e435450;TRUE;45°;29;0;0;0;29
254a0167-31b0-4208-bc7f-d11c9b24c3c0;TRUE;45°;3;0;0;0;3
17a6a8ec-fa65-427a-8663-4947031396ce;TRUE;00°;24;0;1;1;25
d2193f18-7b75-47ba-9711-58016b8c06ba;TRUE;45°;123;0;0;0;123
8d46aa56-db62-4160-b767-463ff716f261;TRUE;45°;16;0;0;0;16
8701e2d1-4956-4608-981d-c3b938f7cd6b;TRUE;45°;80;1;0;1;81
57e93a29-0129-4d03-bb39-94cf94a67328;TRUE;45°;1;0;0;0;1
